Market,Market Rank (a),Number of Channels,Stations,NetworkAffiliation (b)
"Washington, DC",6,4,WJLA,ABC
"Seattle / Tacoma, WA",12,6,"KOMO, KUNS",ABC
"Minneapolis / St. Paul, MN",15,4,WUCW,CW
"St. Louis, MO",21,4,KDNL,ABC
"Portland, OR",22,10,"KATU, KUNP, KUNP-LD",ABC
"Pittsburgh, PA",24,7,"WPGH, WPNT","FOX, MNT"
"Raleigh / Durham, NC",25,6,"WLFL, WRDC","CW, MNT"
"Baltimore, MD",26,7,"WBFF, WNUV(c)","FOX, CW, MNT"
"Nashville, TN",27,9,"WZTV, WUXP, WNAB(d)","FOX, CW, MNT"
"Salt Lake City, UT",30,9,"KUTV, KENV(d), KMYU, KJZZ","CBS, NBC, MNT, IND"
"San Antonio, TX",31,8,"KABB, WOAI, KMYS(d)","FOX, NBC, CW"
"Columbus, OH",34,9,"WSYX, WTTE(c), WWHO(d)","ABC, FOX, CW, MNT"
"Cincinnati, OH",35,7,"WKRC, WSTR(d)","CBS, CW, MNT"
"Milwaukee, WI",36,6,"WVTV, WCGV","CW, MNT"
"West Palm Beach / Fort Pierce, FL",37,12,"WPEC, WTVX, WTCN-CA, WWHB-CA","CBS, CW, MNT"
"Asheville, NC / Greenville, SC",38,8,"WLOS, WMYA(c)","ABC, MNT"
"Austin, TX",39,2,KEYE,CBS
"Las Vegas, NV",40,8,"KSNV, KVCW","NBC, CW, MNT"
"Oklahoma City, OK",41,6,"KOKH, KOCB","FOX, CW"
"Grand Rapids / Kalamazoo, MI",43,3,WWMT,"CBS, CW"
"Birmingham / Tuscaloosa, AL",44,14,"WBMA-LD, WABM, WDBB(c), WTTO","ABC, CW, MNT"
"Harrisburg / Lancaster / Lebanon / York, PA",45,3,WHP,"CBS, CW, MNT"
"Norfolk, VA",47,4,WTVZ,MNT
"Greensboro / High Point / Winston Salem, NC",48,7,"WXLV, WMYV","ABC, MNT"
"Providence, RI / New Bedford, MA",52,4,WJAR,NBC
"Buffalo, NY",53,7,"WUTV, WNYO","FOX, MNT"
"Fresno / Visalia, CA",54,12,"KMPH-CD, KMPH, KFRE","FOX, CW"
"Richmond, VA",55,4,WRLH,"FOX, MNT"
"Wilkes Barre / Scranton, PA",57,10,"WOLF(c), WSWB(d), WQMY(c)","FOX, CW, MNT"
"Little Rock / Pine Bluff, AR",58,4,KATV,ABC
"Mobile, AL / Pensacola, FL",59,11,"WEAR, WPMI(d), WFGX, WJTC(d)","ABC, NBC, MNT, IND"
"Albany, NY",60,7,"WRGB, WCWN","CBS, CW"
"Tulsa, OK",62,4,KTUL,ABC
"Lexington, KY",63,4,WDKY,FOX
"Dayton, OH",64,8,"WKEF, WRGT(d)","ABC, FOX, MNT"
"Wichita / Hutchinson, KS",67,18,"KSAS, KOCW, KAAS, KAAS-LP, KSAS-LP, KMTW(c)","FOX, MNT"
"Des Moines, IA",68,4,KDSM,FOX
"Green Bay / Appleton, WI",69,7,"WLUK, WCWF","FOX, CW"
"Roanoke / Lynchburg, VA",70,4,WSET,ABC
"Flint / Saginaw / Bay City, MI",71,10,"WSMH, WEYI(d), WBSF(d)","FOX, NBC, CW"
"Spokane, WA",72,3,KLEW,CBS
"Charleston / Huntington, WV",73,7,"WCHS, WVAH(d)","ABC, FOX"
