Market,Market Rank (a),Number of Channels,Stations,NetworkAffiliation (b)
"Washington, DC",7,3,WJLA,ABC
"Seattle / Tacoma, WA",14,5,"KOMO, KUNS",ABC
"Minneapolis / St. Paul, MN",15,4,WUCW,CW
"St. Louis, MO",21,3,KDNL,ABC
"Pittsburgh, PA",23,7,"WPGH, WPNT","FOX, MNT"
"Raleigh / Durham, NC",24,5,"WLFL, WRDC","CW, MNT"
"Portland, OR",25,9,"KATU, KUNP, KUNP-LP",ABC
"Baltimore, MD",26,10,"WBFF, WUTB(d), WNUV(c)","FOX, CW, MNT"
"Nashville, TN",29,9,"WZTV, WUXP, WNAB(d)","FOX, MNT, CW"
"San Antonio, TX",31,6,"KABB, KMYS(d), WOAI","FOX, NBC, CW"
"Columbus, OH",32,9,"WSYX, WWHO(d), WTTE(c)","ABC, FOX, CW, MNT"
"Salt Lake City, UT",34,7,"KUTV, KMYU, KENV(d), KJZZ","CBS, NBC, MNT, IND"
"Milwaukee, WI",35,5,"WCGV, WVTV","CW, MNT"
"Cincinnati, OH",36,7,"WSTR(d), WKRC","CBS, CW, MNT"
"Asheville, NC / Greenville, SC",37,7,"WMYA(c), WLOS","ABC, MNT"
"West Palm Beach / Fort Pierce, FL",38,9,"WTVC, WTCN-CA, WWHB-CA, WPEC","CBS, CW, MNT"
"Austin, TX",39,2,KEYE,CBS
"Las Vegas, NV",40,6,"KSNV, KVCW","NBC, CW, MNT"
"Oklahoma City, OK",41,6,"KOCB, KOKH","FOX, CW"
"Norfolk, VA",42,4,WTVZ,MNT
"Harrisburg / Lancaster / Lebanon / York, PA",43,3,WHP,"CBS, CW, MNT"
"Grand Rapids / Kalamazoo, MI",44,3,WWMT,"CBS, CW"
"Birmingham / Tuscaloosa, AL",45,13,"WTTO, WABM, WDBB(c), WBMA-LD","ABC, CW, MNT"
"Greensboro / High Point / Winston Salem, NC",46,6,"WXLV, WMYV","ABC, MNT"
"Providence, RI / New Bedford, MA",52,3,WJAR,NBC
"Buffalo, NY",53,7,"WUTV, WNYO","FOX, MNT"
"Fresno / Visalia, CA",54,9,"KMPH, KFRE, KMPH-CD","FOX, CW"
"Richmond, VA",55,3,WRLH,"FOX, MNT"
