Market,MarketRank (a),Stations,Channel,Status (b),Network/Program ServiceArrangement (c),StationRank inMarket (d),ExpirationDate of FCCLicense
"Tampa/St. Petersburg, Florida",14,WTTAWTTA,PrimarySecond,LMA(e),MNTTheCoolTV,7 of 9,2/01/13
"Minneapolis/St. Paul, Minnesota",15,WUCWWUCWWUCW,PrimarySecondThird,O&O,CWTheCoolTVThe Country Network,6 of 7,4/01/14
"St. Louis, Missouri",21,KDNLKDNLKDNL,PrimarySecondThird,O&O,ABCTheCoolTVThe Country Network,4 of 7,2/01/14
"Pittsburgh, Pennsylvania",24,WPGHWPMYWPGHWPMY,PrimaryPrimarySecondSecond,O&OO&O,FOXMNTThe Country NetworkTheCoolTV,4 of 76 of 7,8/01/158/01/15
"Raleigh/Durham, North Carolina",25,WLFLWRDCWLFLWRDC,PrimaryPrimarySecondSecond,O&OO&O,CWMNTThe Country NetworkTheCoolTV,5 of 86 of 8,12/01/04 (f)(m)12/01/04 (f)(m)
"Baltimore, Maryland",26,WBFFWNUVWBFFWBFFWNUV,PrimaryPrimarySecondThirdSecond,O&OLMA(g),FOXCWThis TVThe Country NetworkTheCoolTV,4 of 65 of 6,10/01/04 (f)(m)10/01/12
"Nashville, Tennessee",29,WZTVWUXPWNABWUXPWNAB,PrimaryPrimaryPrimarySecondSecond,O&OO&OOSA(h),FOXMNTCWTheCoolTVThe Country Network,4 of 95 of 96 of 9,8/01/138/01/138/01/13
"Cincinnati, Ohio",33,WSTRWSTR,PrimarySecond,O&O,MNTTheCoolTV,5 of 6,10/01/13
"Columbus, Ohio",34,WSYXWTTEWSYXWTTE,PrimaryPrimarySecondSecond,O&OLMA(g),ABCFOXThis TV and MNTTheCoolTV,2 of 74 of 7,10/01/1310/01/05 (f)(m)
"Milwaukee, Wisconsin",35,WCGVWVTVWCGV,PrimaryPrimarySecond,O&OO&O,MNTCWThe Country Network,5 of 96 of 9,12/01/05 (f)(m)12/01/13
"Asheville, North Carolina/ Greenville/Spartanburg/ Anderson, South Carolina",36,WLOSWMYAWLOSWMYAWMYA,PrimaryPrimarySecondSecondThird,O&OLMA(g),ABCMNTMNTTheCoolTVThe Country Network,3 of 86 of 8,12/01/04 (f)(m)12/01/04 (f)(m)
"San Antonio, Texas",37,KABBKMYSKABBKMYS,PrimaryPrimarySecondSecond,O&OO&O,FOXCWThe Country NetworkTheCoolTV,3 of 75 of 7,8/01/148/01/14
"Birmingham, Alabama",40,WTTOWABMWDBBWTTOWABMWDBB,PrimaryPrimaryPrimarySecondSecondSecond,O&OO&OLMA,CWMNTCWThe Country NetworkTheCoolTVThe Country Network,5 of 86 of 85 of 8 (i),4/01/05 (f)(m)4/01/134/01/13
